iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,reproduction_rate,population,population_density,gdp_per_capita,life_expectancy
TTO,North America,Trinidad and Tobago,2022-01-09,96952.0,3066.0,69084.934,nan,1403374.0,266.886,28763.071,73.51
TUN,Africa,Tunisia,2022-01-09,743838.0,25665.0,62320.099,nan,11935764.0,74.228,10849.297,76.7
TUR,Asia,Turkey,2022-01-09,9980422.0,83702.0,117357.725,nan,85042736.0,104.914,25129.341,77.69
TKM,Asia,Turkmenistan,2021-08-29,nan,nan,nan,nan,6117933.0,12.253,16389.023,68.19
TCA,North America,Turks and Caicos Islands,2022-01-09,4007.0,27.0,102151.634,nan,39226.0,37.312,nan,80.22
TUV,Oceania,Tuvalu,2021-10-22,nan,nan,nan,nan,11925.0,373.067,3575.104,67.57
UGA,Africa,Uganda,2022-01-09,153762.0,3339.0,3262.956,nan,47123533.0,213.759,1697.707,63.37
UKR,Europe,Ukraine,2022-01-09,3883316.0,103615.0,89339.773,nan,43466822.0,77.39,7894.393,72.06
ARE,Asia,United Arab Emirates,2022-01-09,785625.0,2174.0,78632.617,nan,9991083.0,112.442,67293.483,77.97
GBR,Europe,United Kingdom,2022-01-09,14507601.0,150270.0,212699.235,nan,68207114.0,272.898,39753.244,81.32
USA,North America,United States,2022-01-09,60074429.0,837594.0,180449.711,nan,332915074.0,35.608,54225.446,78.86
OWID_UMC,nan,Upper middle income,2022-01-09,88805506.0,2278446.0,35328.984,nan,2513672790.0,nan,nan,nan
URY,South America,Uruguay,2022-01-09,449422.0,6192.0,128953.343,nan,3485152.0,19.751,20551.409,77.91
UZB,Asia,Uzbekistan,2022-01-09,200341.0,1494.0,5903.536,nan,33935765.0,76.134,6253.104,71.72
VUT,Oceania,Vanuatu,2022-01-09,7.0,1.0,22.26,nan,314464.0,22.662,2921.909,70.47
VAT,Europe,Vatican,2022-01-09,27.0,nan,33251.232,nan,812.0,nan,nan,75.12
VEN,South America,Venezuela,2022-01-09,447288.0,5357.0,15582.262,nan,28704947.0,36.253,16745.022,72.06
VNM,Asia,Vietnam,2022-01-09,1899575.0,34319.0,19350.083,nan,98168829.0,308.127,6171.884,75.4
WLF,Oceania,Wallis and Futuna,2022-01-09,454.0,7.0,40923.021,nan,11094.0,nan,nan,79.94
OWID_WRL,World,World,2022-01-09,307155337.0,5488628.0,39004.022,nan,7874965730.0,58.045,15469.207,72.58
YEM,Asia,Yemen,2022-01-09,10197.0,1986.0,334.431,nan,30490639.0,53.508,1479.147,66.12
ZMB,Africa,Zambia,2022-01-09,282904.0,3812.0,14952.123,nan,18920657.0,22.995,3689.251,63.89
